"h_a","xG","xGA","npxG","npxGA","ppda","ppda_allowed","deep","deep_allowed","scored","missed","xpts","result","date","wins","draws","loses","pts","npxGD","league","season","teams"
"a",2.09987,1.3187,2.09987,1.3187,14.6666666666667,11,7,5,2,2,1.9369,"d","2024-08-16 19:30:00",0,1,0,1,0.78117,"La_liga","2024","Sevilla"
"h",1.23826,1.39825,1.23826,1.39825,6.85185185185185,23.2666666666667,4,4,1,2,1.2057,"l","2024-08-23 19:30:00",0,0,1,0,-0.15999,"La_liga","2024","Sevilla"
"a",0.60976,0.940858,0.60976,0.940858,13.5,13.4090909090909,7,3,0,0,0.9771,"d","2024-08-27 17:00:00",0,1,0,1,-0.331098,"La_liga","2024","Sevilla"
"h",0.812687,2.36355,0.812687,1.62028,16.5625,8.48387096774194,5,5,0,2,0.3138,"l","2024-09-01 17:00:00",0,0,1,0,-0.807593,"La_liga","2024","Sevilla"
"h",1.64801,0.971555,1.64801,0.971555,5.52380952380952,8.07142857142857,3,1,1,0,1.9359,"w","2024-09-14 16:30:00",1,0,0,3,0.676455,"La_liga","2024","Sevilla"
"a",0.623937,1.40641,0.623937,1.40641,7.61538461538461,13.5833333333333,3,4,1,2,0.5211,"l","2024-09-20 19:00:00",0,0,1,0,-0.782473,"La_liga","2024","Sevilla"
"h",1.67099,0.411515,1.67099,0.411515,7.23809523809524,11.9375,8,3,2,1,2.3604,"w","2024-09-24 17:00:00",1,0,0,3,1.259475,"La_liga","2024","Sevilla"
"a",1.24147,1.82961,1.24147,1.82961,8.77777777777778,10.6428571428571,4,5,1,1,0.9153,"d","2024-09-29 14:15:00",0,1,0,1,-0.58814,"La_liga","2024","Sevilla"
"h",1.8284,0.436615,1.08512,0.436615,10.1818181818182,11.7368421052632,3,6,1,0,2.5163,"w","2024-10-06 16:30:00",1,0,0,3,0.648505,"La_liga","2024","Sevilla"
"a",0.599652,4.08528,0.599652,3.342,14.12,6.24137931034483,2,14,1,5,0.0351,"l","2024-10-20 19:00:00",0,0,1,0,-2.742348,"La_liga","2024","Sevilla"
"a",0.813306,1.0292,0.813306,1.0292,17.4,10.4642857142857,4,5,2,0,1.2197,"w","2024-10-25 19:00:00",1,0,0,3,-0.215894,"La_liga","2024","Sevilla"
"h",0.629505,1.21835,0.629505,0.475072,16.75,15.2941176470588,1,0,0,2,0.7386,"l","2024-11-03 17:30:00",0,0,1,0,0.154433,"La_liga","2024","Sevilla"
"a",0.539924,1.09319,0.539924,0.349909,8.08,18.6875,5,3,0,1,0.733,"l","2024-11-09 21:00:00",0,0,1,0,0.190015,"La_liga","2024","Sevilla"
"h",1.57063,0.862262,1.57063,0.862262,11.6315789473684,10.5454545454545,7,1,1,0,1.946,"w","2024-11-24 15:15:00",1,0,0,3,0.708368,"La_liga","2024","Sevilla"
"h",1.09081,1.04839,1.09081,1.04839,6.94444444444444,18.7142857142857,6,1,1,1,1.3577,"d","2024-12-02 20:00:00",0,1,0,1,0.0424200000000001,"La_liga","2024","Sevilla"
"a",0.635773,2.32183,0.635773,2.32183,24.3125,13.52,2,6,3,4,0.3116,"l","2024-12-08 20:00:00",0,0,1,0,-1.686057,"La_liga","2024","Sevilla"
"h",0.487466,0.928845,0.487466,0.928845,10.1,14.5294117647059,3,6,1,0,0.8755,"w","2024-12-14 17:30:00",1,0,0,3,-0.441379,"La_liga","2024","Sevilla"
"a",1.41183,2.90098,1.41183,2.90098,15.0357142857143,12.1818181818182,3,13,2,4,0.5216,"l","2024-12-22 15:15:00",0,0,1,0,-1.48915,"La_liga","2024","Sevilla"
"h",0.734356,1.08107,0.734356,1.08107,7.86206896551724,17,3,0,1,1,0.9694,"d","2025-01-11 20:00:00",0,1,0,1,-0.346714,"La_liga","2024","Sevilla"
"a",3.09224,1.14329,2.34896,1.14329,14.304347826087,10.6,5,8,2,1,2.6342,"w","2025-01-18 13:00:00",1,0,0,3,1.20567,"La_liga","2024","Sevilla"
"h",1.15013,1.27943,1.15013,1.27943,4.54166666666667,22.8823529411765,5,0,1,1,1.1934,"d","2025-01-25 17:30:00",0,1,0,1,-0.1293,"La_liga","2024","Sevilla"
"a",0.871043,0.922731,0.871043,0.922731,10.1333333333333,9.64,4,3,0,0,1.2667,"d","2025-02-01 13:00:00",0,1,0,1,-0.051688,"La_liga","2024","Sevilla"
"h",0.921429,1.93199,0.921429,1.93199,14.8888888888889,9.6,3,11,1,4,0.5849,"l","2025-02-09 20:00:00",0,0,1,0,-1.010561,"La_liga","2024","Sevilla"
"a",1.4827,0.532481,1.4827,0.532481,20.15,17.25,3,3,4,0,2.1584,"w","2025-02-16 15:15:00",1,0,0,3,0.950219,"La_liga","2024","Sevilla"
"h",1.5822,1.64957,1.5822,1.64957,6.93548387096774,10.16,8,6,1,1,1.3287,"d","2025-02-24 20:00:00",0,1,0,1,-0.0673699999999999,"La_liga","2024","Sevilla"
"a",0.807803,2.59009,0.807803,2.59009,16.3157894736842,5.03225806451613,1,9,1,1,0.3074,"d","2025-03-01 15:15:00",0,1,0,1,-1.782287,"La_liga","2024","Sevilla"
"a",1.01162,0.803868,1.01162,0.803868,24.75,7.83333333333333,3,2,1,0,1.5335,"w","2025-03-09 20:00:00",1,0,0,3,0.207752,"La_liga","2024","Sevilla"
"h",0.459323,1.64488,0.459323,0.901598,11.4666666666667,14.0833333333333,2,3,0,1,0.3945,"l","2025-03-16 15:15:00",0,0,1,0,-0.442275,"La_liga","2024","Sevilla"
"a",0.867589,0.894203,0.867589,0.894203,8.38235294117647,8.89285714285714,4,7,1,2,1.3088,"l","2025-03-30 20:00:00",0,0,1,0,-0.0266139999999999,"La_liga","2024","Sevilla"
"h",0.818692,1.23653,0.818692,0.493255,13.125,11.1739130434783,4,6,1,2,0.9022,"l","2025-04-06 14:15:00",0,0,1,0,0.325437,"La_liga","2024","Sevilla"
"a",0.910522,1.42634,0.910522,1.42634,9.56,12.0555555555556,7,7,0,1,0.8708,"l","2025-04-11 19:00:00",0,0,1,0,-0.515818,"La_liga","2024","Sevilla"
"h",1.89613,1.30312,1.89613,1.30312,10.2727272727273,8.45454545454546,2,5,1,1,1.8219,"d","2025-04-20 16:30:00",0,1,0,1,0.59301,"La_liga","2024","Sevilla"
"a",0.934425,0.373711,0.934425,0.373711,24.5,11.0588235294118,7,1,0,1,1.8621,"l","2025-04-24 17:00:00",0,0,1,0,0.560714,"La_liga","2024","Sevilla"
"h",2.33742,0.804853,2.33742,0.804853,5.06896551724138,10,8,2,2,2,2.4946,"d","2025-05-04 14:15:00",0,1,0,1,1.532567,"La_liga","2024","Sevilla"
"a",2.61391,0.959531,1.87064,0.959531,10.4333333333333,19.6153846153846,5,4,2,3,2.4907,"l","2025-05-10 14:15:00",0,0,1,0,0.911109,"La_liga","2024","Sevilla"
"h",0.93125,0.399067,0.93125,0.399067,6.78378378378378,10.5625,7,2,1,0,1.8263,"w","2025-05-13 19:30:00",1,0,0,3,0.532183,"La_liga","2024","Sevilla"
"h",0.484891,1.95992,0.484891,1.95992,21.4444444444444,8.91304347826087,1,13,0,2,0.2493,"l","2025-05-18 17:00:00",0,0,1,0,-1.475029,"La_liga","2024","Sevilla"
"a",1.64829,1.28805,1.64829,1.28805,14.6086956521739,14.6842105263158,16,11,2,4,1.6406,"l","2025-05-25 14:15:00",0,0,1,0,0.36024,"La_liga","2024","Sevilla"
"h",1.56608,1.60148,1.56608,1.60148,6,7.15151515151515,4,2,1,2,1.3504,"l","2024-08-18 17:00:00",0,0,1,0,-0.0354000000000001,"La_liga","2024","Real Sociedad"
"a",0.796104,1.79566,0.796104,1.79566,4.07142857142857,22,5,4,1,0,0.5499,"w","2024-08-24 19:30:00",1,0,0,3,-0.999556,"La_liga","2024","Real Sociedad"
"h",0.951647,2.62561,0.951647,1.88233,10.5384615384615,11.7333333333333,4,2,1,2,0.3251,"l","2024-08-28 19:30:00",0,0,1,0,-0.930683,"La_liga","2024","Real Sociedad"
"a",0.0209183,0.547095,0.0209183,0.547095,4.78571428571429,8.09090909090909,0,5,0,0,0.6042,"d","2024-09-01 17:15:00",0,1,0,1,-0.5261767,"La_liga","2024","Real Sociedad"
"h",1.41828,2.2759,1.41828,0.789346,16.5294117647059,20.6153846153846,11,5,0,2,0.7268,"l","2024-09-14 19:00:00",0,0,1,0,0.628934,"La_liga","2024","Real Sociedad"
"a",0.499139,1.56932,0.499139,0.826041,6.96551724137931,18.75,8,2,0,1,0.4331,"l","2024-09-17 19:00:00",0,0,1,0,-0.326902,"La_liga","2024","Real Sociedad"
"a",1.3906,0.952589,1.3906,0.952589,4.42857142857143,12.0769230769231,9,0,0,0,1.734,"d","2024-09-21 12:00:00",0,1,0,1,0.438011,"La_liga","2024","Real Sociedad"
"h",3.6853,0.805963,3.6853,0.805963,9.55555555555556,15.5909090909091,7,2,3,0,2.9008,"w","2024-09-28 16:30:00",1,0,0,3,2.879337,"La_liga","2024","Real Sociedad"
"h",1.08517,0.561748,1.08517,0.561748,8.33333333333333,29,12,4,1,1,1.808,"d","2024-10-06 19:00:00",0,1,0,1,0.523422,"La_liga","2024","Real Sociedad"
"a",1.86082,0.446152,1.86082,0.446152,10.3333333333333,17.9473684210526,3,5,1,0,2.4718,"w","2024-10-19 16:30:00",1,0,0,3,1.414668,"La_liga","2024","Real Sociedad"
"h",1.6767,1.06487,1.6767,1.06487,5.3125,27.4166666666667,11,2,0,2,1.8348,"l","2024-10-27 20:00:00",0,0,1,0,0.61183,"La_liga","2024","Real Sociedad"
"a",1.21835,0.629505,0.475072,0.629505,15.2941176470588,16.75,0,1,2,0,1.9446,"w","2024-11-03 17:30:00",1,0,0,3,-0.154433,"La_liga","2024","Real Sociedad"
"h",1.88518,0.514102,1.88518,0.514102,11.1764705882353,9.86666666666667,7,7,1,0,2.4081,"w","2024-11-10 20:00:00",1,0,0,3,1.371078,"La_liga","2024","Real Sociedad"
"a",0.799084,1.65075,0.799084,1.65075,6.73913043478261,10.9032258064516,6,7,0,1,0.631,"l","2024-11-24 20:00:00",0,0,1,0,-0.851666,"La_liga","2024","Real Sociedad"
"h",0.818081,0.366137,0.0748031,0.366137,7.21951219512195,8.57142857142857,1,3,2,0,1.9633,"w","2024-12-01 20:00:00",1,0,0,3,-0.2913339,"La_liga","2024","Real Sociedad"
"a",1.74462,0.463722,1.74462,0.463722,6.09756097560976,8.44444444444444,8,3,3,0,2.4092,"w","2024-12-08 13:00:00",1,0,0,3,1.280898,"La_liga","2024","Real Sociedad"
"h",1.24562,0.840973,1.24562,0.840973,4.69230769230769,6.05882352941176,11,2,0,0,1.7153,"d","2024-12-15 17:30:00",0,1,0,1,0.404647,"La_liga","2024","Real Sociedad"
"a",0.314488,1.22165,0.314488,1.22165,7.58333333333333,9.06451612903226,4,5,0,2,0.4476,"l","2024-12-21 15:15:00",0,0,1,0,-0.907162,"La_liga","2024","Real Sociedad"
"h",0.805968,1.22527,0.805968,1.22527,6.13793103448276,17.0625,0,5,1,0,0.9783,"w","2025-01-13 20:00:00",1,0,0,3,-0.419302,"La_liga","2024","Real Sociedad"
"a",0.758224,1.77248,0.758224,1.77248,5.59090909090909,13.7142857142857,12,4,0,1,0.5444,"l","2025-01-19 20:00:00",0,0,1,0,-1.014256,"La_liga","2024","Real Sociedad"
"h",1.26074,2.01027,1.26074,2.01027,6.86666666666667,5.48275862068965,10,2,0,3,0.7995,"l","2025-01-26 15:15:00",0,0,1,0,-0.74953,"La_liga","2024","Real Sociedad"
"a",2.35115,1.11088,2.35115,1.11088,10.5294117647059,20.4375,13,6,1,2,2.2869,"l","2025-02-02 17:30:00",0,0,1,0,1.24027,"La_liga","2024","Real Sociedad"
"h",1.67839,0.872507,1.67839,0.129229,6.04761904761905,13.4545454545455,8,0,2,1,2.039,"w","2025-02-09 17:30:00",1,0,0,3,1.549161,"La_liga","2024","Real Sociedad"
"a",0.20529,2.49445,0.20529,1.75117,13.7894736842105,5.5,2,10,0,3,0.0812,"l","2025-02-16 20:00:00",0,0,1,0,-1.54588,"La_liga","2024","Real Sociedad"
"h",1.0679,0.256673,1.0679,0.256673,9.70833333333333,12,1,5,3,0,2.1397,"w","2025-02-23 20:00:00",1,0,0,3,0.811227,"La_liga","2024","Real Sociedad"
"a",0,3.63697,0,3.63697,24.4444444444444,4.21212121212121,0,33,0,4,0.0127,"l","2025-03-02 15:15:00",0,0,1,0,-3.63697,"La_liga","2024","Real Sociedad"
"h",0.803868,1.01162,0.803868,1.01162,7.83333333333333,24.75,2,3,0,1,1.1249,"l","2025-03-09 20:00:00",0,0,1,0,-0.207752,"La_liga","2024","Real Sociedad"
"a",0.905535,0.536859,0.905535,0.536859,12,6.11538461538461,4,3,2,2,1.6827,"d","2025-03-16 17:30:00",0,1,0,1,0.368676,"La_liga","2024","Real Sociedad"
"h",1.32811,1.29525,1.32811,1.29525,5.97142857142857,17,12,5,2,1,1.3586,"w","2025-03-29 13:00:00",1,0,0,3,0.0328599999999999,"La_liga","2024","Real Sociedad"
"a",2.81501,1.75387,2.81501,1.75387,16.5833333333333,7.71428571428571,9,10,3,1,2.1299,"w","2025-04-06 12:00:00",1,0,0,3,1.06114,"La_liga","2024","Real Sociedad"
"h",0.616782,0.801126,0.616782,0.801126,4.93548387096774,22.8461538461538,3,4,0,2,1.1264,"l","2025-04-12 12:00:00",0,0,1,0,-0.184344,"La_liga","2024","Real Sociedad"
"a",2.29777,2.14498,1.5545,2.14498,16.3125,16,1,7,2,2,1.5707,"d","2025-04-20 14:15:00",0,1,0,1,-0.59048,"La_liga","2024","Real Sociedad"
"a",0.472083,0.815479,0.472083,0.815479,6.94117647058824,6.53488372093023,2,2,0,1,0.9264,"l","2025-04-23 19:30:00",0,0,1,0,-0.343396,"La_liga","2024","Real Sociedad"
"h",0.893155,0.232928,0.893155,0.232928,5.77777777777778,17.7,3,4,0,0,1.9764,"d","2025-05-04 19:00:00",0,1,0,1,0.660227,"La_liga","2024","Real Sociedad"
"a",0.298675,1.71528,0.298675,1.71528,22.9444444444444,17.3125,6,6,0,4,0.2922,"l","2025-05-10 19:00:00",0,0,1,0,-1.416605,"La_liga","2024","Real Sociedad"
"h",3.31324,1.29945,3.31324,1.29945,6.71428571428571,25,3,3,0,1,2.6071,"l","2025-05-13 18:00:00",0,0,1,0,2.01379,"La_liga","2024","Real Sociedad"
"h",1.87253,1.64512,1.12925,1.64512,10.9090909090909,11.6086956521739,3,2,3,2,1.5257,"w","2025-05-18 17:00:00",1,0,0,3,-0.51587,"La_liga","2024","Real Sociedad"
"a",1.18496,2.61915,1.18496,1.73214,28.1818181818182,11.08,1,11,0,2,0.4117,"l","2025-05-24 14:15:00",0,0,1,0,-0.54718,"La_liga","2024","Real Sociedad"
"a",0.515586,1.17753,0.515586,1.17753,11.85,16.3157894736842,1,5,0,1,0.7329,"l","2024-08-19 17:00:00",0,0,1,0,-0.661944,"La_liga","2024","Espanyol"
"h",1.79566,0.796104,1.79566,0.796104,22,4.07142857142857,4,5,0,1,2.2146,"l","2024-08-24 19:30:00",0,0,1,0,0.999556,"La_liga","2024","Espanyol"
"a",0.855829,3.88587,0.855829,3.88587,25.8333333333333,19.4545454545455,1,17,0,0,0.0927,"d","2024-08-28 19:30:00",0,1,0,1,-3.030041,"La_liga","2024","Espanyol"
"h",1.84679,1.0088,1.84679,1.0088,10.2857142857143,7.3448275862069,7,4,2,1,2.0395,"w","2024-08-31 17:15:00",1,0,0,3,0.83799,"La_liga","2024","Espanyol"
"h",1.95102,2.3693,1.20775,2.3693,14.2,8.15,3,10,3,2,1.0441,"w","2024-09-14 14:15:00",1,0,0,3,-1.16155,"La_liga","2024","Espanyol"
"a",0.318831,4.89487,0.318831,4.1516,31.8461538461538,5.66666666666667,3,23,1,4,0.0047,"l","2024-09-21 19:00:00",0,0,1,0,-3.832769,"La_liga","2024","Espanyol"
"h",0.355072,1.96233,0.355072,1.96233,13.6111111111111,15.6190476190476,2,4,1,2,0.261,"l","2024-09-26 17:00:00",0,0,1,0,-1.607258,"La_liga","2024","Espanyol"
"a",0.569387,1.97922,0.569387,1.23197,11.5454545454545,10.8461538461538,0,17,0,1,0.3533,"l","2024-09-29 16:30:00",0,0,1,0,-0.662583,"La_liga","2024","Espanyol"
"h",0.948554,1.79839,0.948554,1.79839,11.5238095238095,5.83333333333333,2,4,2,1,0.5791,"w","2024-10-05 12:00:00",1,0,0,3,-0.849836,"La_liga","2024","Espanyol"
"a",0.500795,1.46517,0.500795,1.46517,10.4814814814815,13.1764705882353,3,5,1,4,0.5391,"l","2024-10-19 12:00:00",0,0,1,0,-0.964375,"La_liga","2024","Espanyol"
"h",1.0292,0.813306,1.0292,0.813306,10.4642857142857,17.4,5,4,0,2,1.4279,"l","2024-10-25 19:00:00",0,0,1,0,0.215894,"La_liga","2024","Espanyol"
"a",0.787359,1.94398,0.787359,1.94398,21.5714285714286,4.58333333333333,2,15,1,3,0.5455,"l","2024-11-03 15:15:00",0,0,1,0,-1.156621,"La_liga","2024","Espanyol"
"a",0.488285,3.28521,0.488285,3.28521,16.9666666666667,9.5,9,17,1,4,0.0732,"l","2024-11-23 17:30:00",0,0,1,0,-2.796925,"La_liga","2024","Espanyol"
"h",1.50136,1.55998,1.50136,0.816704,31.0714285714286,4.58823529411765,2,11,3,1,1.3063,"w","2024-11-30 17:30:00",1,0,0,3,0.684656,"La_liga","2024","Espanyol"
"a",1.17303,0.530268,1.17303,0.530268,5.74074074074074,9.77777777777778,6,1,0,1,1.9919,"l","2024-12-09 20:00:00",0,0,1,0,0.642762,"La_liga","2024","Espanyol"
"h",0.298744,0.213917,0.298744,0.213917,16.8947368421053,9.42857142857143,3,4,0,0,1.2806,"d","2024-12-14 13:00:00",0,1,0,1,0.084827,"La_liga","2024","Espanyol"
"h",1.87851,1.78128,1.87851,1.78128,13.95,10.7272727272727,10,8,1,1,1.4624,"d","2024-12-18 20:30:00",0,1,0,1,0.0972299999999999,"La_liga","2024","Espanyol"
"a",0.878983,0.956162,0.878983,0.956162,14,10.9,1,2,0,1,1.2578,"l","2024-12-22 17:30:00",0,0,1,0,-0.077179,"La_liga","2024","Espanyol"
"h",1.05544,1.92496,1.05544,1.92496,13.1428571428571,9.61538461538461,10,6,1,1,0.7222,"d","2025-01-11 17:30:00",0,1,0,1,-0.86952,"La_liga","2024","Espanyol"
"h",1.28839,1.72021,1.28839,1.72021,18.5,13.7333333333333,3,5,2,1,1.0094,"w","2025-01-17 20:00:00",1,0,0,3,-0.43182,"La_liga","2024","Espanyol"
"a",1.27943,1.15013,1.27943,1.15013,22.8823529411765,4.54166666666667,0,5,1,1,1.5156,"d","2025-01-25 17:30:00",0,1,0,1,0.1293,"La_liga","2024","Espanyol"
"h",0.52719,1.52796,0.52719,1.52796,34.75,12,1,18,1,0,0.5958,"w","2025-02-01 20:00:00",1,0,0,3,-1.00077,"La_liga","2024","Espanyol"
"a",0.872507,1.67839,0.129229,1.67839,13.4545454545455,6.04761904761905,0,8,1,2,0.6743,"l","2025-02-09 17:30:00",0,0,1,0,-1.549161,"La_liga","2024","Espanyol"
"h",1.19577,0.896815,1.19577,0.896815,9.96153846153846,6.375,3,4,1,1,1.6122,"d","2025-02-16 13:00:00",0,1,0,1,0.298955,"La_liga","2024","Espanyol"
"a",0.495881,1.54627,0.495881,1.54627,11.8947368421053,6.45454545454545,4,6,1,0,0.5476,"w","2025-02-22 13:00:00",1,0,0,3,-1.050389,"La_liga","2024","Espanyol"
"h",0.325296,1.58787,0.325296,0.844596,26.5833333333333,6.53846153846154,1,15,1,1,0.3376,"d","2025-03-10 20:00:00",0,1,0,1,-0.5193,"La_liga","2024","Espanyol"
"a",0.184342,2.57036,0.184342,1.08381,17.6428571428571,8.82352941176471,3,9,1,2,0.0621,"l","2025-03-15 15:15:00",0,0,1,0,-0.899468,"La_liga","2024","Espanyol"
"h",0.985043,0.994468,0.241766,0.994468,14.75,11.35,0,5,1,1,1.3458,"d","2025-03-29 15:15:00",0,1,0,1,-0.752702,"La_liga","2024","Espanyol"
"a",3.48741,0.501253,2.74413,0.501253,16.9411764705882,7.2,8,7,4,0,2.877,"w","2025-04-04 19:00:00",1,0,0,3,2.242877,"La_liga","2024","Espanyol"
"a",0.780846,0.824366,0.780846,0.824366,24.7272727272727,7.89285714285714,3,8,2,0,1.3282,"w","2025-04-12 16:30:00",1,0,0,3,-0.04352,"La_liga","2024","Espanyol"
"h",0.367268,0.736613,0.367268,0.736613,3.80952380952381,11.5454545454545,3,4,1,0,0.8768,"w","2025-04-18 19:00:00",1,0,0,3,-0.369345,"La_liga","2024","Espanyol"
"a",0.344156,1.07897,0.344156,1.07897,18.4736842105263,11,1,8,1,1,0.6397,"d","2025-04-22 19:00:00",0,1,0,1,-0.734814,"La_liga","2024","Espanyol"
"a",1.53522,1.35413,1.53522,1.35413,18,10.5769230769231,3,11,0,1,1.5125,"l","2025-04-27 14:15:00",0,0,1,0,0.18109,"La_liga","2024","Espanyol"
"h",0.873167,1.05631,0.873167,1.05631,15.1052631578947,11.1666666666667,9,14,1,2,1.1917,"l","2025-05-04 16:30:00",0,0,1,0,-0.183143,"La_liga","2024","Espanyol"
"a",1.57739,2.05779,1.57739,2.05779,10.2631578947368,7.41666666666667,6,5,2,3,1.0386,"l","2025-05-11 12:00:00",0,0,1,0,-0.4804,"La_liga","2024","Espanyol"
"h",1.51531,0.735877,1.51531,0.735877,23.4375,4.76,4,10,0,2,2.0679,"l","2025-05-15 19:30:00",0,0,1,0,0.779433,"La_liga","2024","Espanyol"
"a",0.572332,1.92502,0.572332,1.92502,10.4117647058824,12.7368421052632,11,6,0,2,0.4116,"l","2025-05-18 17:00:00",0,0,1,0,-1.352688,"La_liga","2024","Espanyol"
"h",1.72167,0.735505,0.978393,0.735505,15.5714285714286,13.4444444444444,2,2,2,0,2.2455,"w","2025-05-24 16:30:00",1,0,0,3,0.242888,"La_liga","2024","Espanyol"
"a",0.537517,0.290195,0.537517,0.290195,14.6111111111111,5.10526315789474,1,4,1,1,1.5619,"d","2024-08-15 17:00:00",0,1,0,1,0.247322,"La_liga","2024","Getafe"
"h",0.512723,0.161076,0.512723,0.161076,5.69565217391304,3.65384615384615,5,2,0,0,1.6273,"d","2024-08-24 19:30:00",0,1,0,1,0.351647,"La_liga","2024","Getafe"
"h",0.547095,0.0209183,0.547095,0.0209183,8.09090909090909,4.78571428571429,5,0,0,0,1.8285,"d","2024-09-01 17:15:00",0,1,0,1,0.5261767,"La_liga","2024","Getafe"
"a",0.971555,1.64801,0.971555,1.64801,8.07142857142857,5.52380952380952,1,3,0,1,0.8067,"l","2024-09-14 16:30:00",0,0,1,0,-0.676455,"La_liga","2024","Getafe"
"a",0.864309,3.06176,0.864309,2.31848,12.1739130434783,4.80952380952381,5,3,1,2,0.1639,"l","2024-09-18 17:00:00",0,0,1,0,-1.454171,"La_liga","2024","Getafe"
"h",1.24276,0.783211,0.499486,0.783211,5.40740740740741,8.71428571428571,7,0,1,1,1.7863,"d","2024-09-22 12:00:00",0,1,0,1,-0.283725,"La_liga","2024","Getafe"
"a",0.929851,2.20799,0.929851,2.20799,21.9375,3.83333333333333,2,7,0,1,0.4812,"l","2024-09-25 19:00:00",0,0,1,0,-1.278139,"La_liga","2024","Getafe"
"h",2.55847,0.415348,1.81519,0.415348,5.1,3.27272727272727,2,2,2,0,2.7683,"w","2024-09-28 12:00:00",1,0,0,3,1.399842,"La_liga","2024","Getafe"
"h",1.34832,0.247706,1.34832,0.247706,8.2,3.89473684210526,1,2,1,1,2.3936,"d","2024-10-05 14:15:00",0,1,0,1,1.100614,"La_liga","2024","Getafe"
"a",2.02638,1.14683,1.2831,1.14683,5.02702702702703,5.1304347826087,3,9,1,1,2.0284,"d","2024-10-20 16:30:00",0,1,0,1,0.13627,"La_liga","2024","Getafe"
"h",2.97825,0.63831,2.23497,0.63831,3.77272727272727,9.7,6,2,1,1,2.8196,"d","2024-10-27 15:15:00",0,1,0,1,1.59666,"La_liga","2024","Getafe"
"a",0.424746,2.12477,0.424746,2.12477,14.695652173913,8.8,4,8,0,1,0.2592,"l","2024-11-04 20:00:00",0,0,1,0,-1.700024,"La_liga","2024","Getafe"
"h",0.220796,0.521025,0.220796,0.521025,8.2,8.5,1,0,0,1,0.8209,"l","2024-11-10 17:30:00",0,0,1,0,-0.300229,"La_liga","2024","Getafe"
"h",0.658487,0.729169,0.658487,0.729169,6.41176470588235,11.3846153846154,6,2,2,0,1.2077,"w","2024-11-22 20:00:00",1,0,0,3,-0.0706819999999999,"La_liga","2024","Getafe"
"a",0.34657,3.23626,0.34657,2.49298,11.6285714285714,7.8,3,7,0,2,0.059,"l","2024-12-01 15:15:00",0,0,1,0,-2.14641,"La_liga","2024","Getafe"
"h",0.530268,1.17303,0.530268,1.17303,9.77777777777778,5.74074074074074,1,6,1,0,0.7163,"w","2024-12-09 20:00:00",1,0,0,3,-0.642762,"La_liga","2024","Getafe"
"a",0.238672,1.85376,0.238672,1.85376,8.29032258064516,9.3,2,6,0,1,0.2219,"l","2024-12-15 13:00:00",0,0,1,0,-1.615088,"La_liga","2024","Getafe"
"h",0.735241,2.06274,0.735241,1.31946,5.14285714285714,7.68421052631579,1,2,0,1,0.4105,"l","2024-12-21 13:00:00",0,0,1,0,-0.584219,"La_liga","2024","Getafe"
"a",1.39575,1.62636,1.39575,0.883081,10,6,7,5,2,1,1.1671,"w","2025-01-12 13:00:00",1,0,0,3,0.512669,"La_liga","2024","Getafe"
"h",1.16921,3.50383,1.16921,3.50383,15.6363636363636,2.94444444444444,5,21,1,1,0.2057,"d","2025-01-18 20:00:00",0,1,0,1,-2.33462,"La_liga","2024","Getafe"
"a",2.01027,1.26074,2.01027,1.26074,5.48275862068965,6.86666666666667,2,10,3,0,1.962,"w","2025-01-26 15:15:00",1,0,0,3,0.74953,"La_liga","2024","Getafe"
"h",0.922731,0.871043,0.922731,0.871043,9.64,10.1333333333333,3,4,0,0,1.3846,"d","2025-02-01 13:00:00",0,1,0,1,0.051688,"La_liga","2024","Getafe"
"a",0.825065,1.25855,0.081787,1.25855,16.2142857142857,3.68421052631579,0,9,1,0,0.8005,"w","2025-02-09 13:00:00",1,0,0,3,-1.176763,"La_liga","2024","Getafe"
"a",0.95535,1.287,0.95535,1.287,10.4,3.85714285714286,4,2,2,1,1.0686,"w","2025-02-14 20:00:00",1,0,0,3,-0.33165,"La_liga","2024","Getafe"
"h",0.86267,2.34571,0.86267,1.60243,6.4,5.63333333333333,6,6,1,2,0.364,"l","2025-02-23 17:30:00",0,0,1,0,-0.73976,"La_liga","2024","Getafe"
"a",0.585024,0.554524,0.585024,0.554524,8.58620689655172,4.66666666666667,0,1,0,1,1.3285,"l","2025-03-02 13:00:00",0,0,1,0,0.0305,"La_liga","2024","Getafe"
"h",1.39814,1.02142,1.39814,0.278141,20.9411764705882,5.91666666666667,4,2,2,1,1.6583,"w","2025-03-09 13:00:00",1,0,0,3,1.119999,"La_liga","2024","Getafe"
"a",0.900928,2.08486,0.900928,1.34158,14.1578947368421,5,8,3,2,1,0.505,"w","2025-03-16 17:30:00",1,0,0,3,-0.440652,"La_liga","2024","Getafe"
"h",0.940085,1.38471,0.940085,1.38471,7.40740740740741,6.33333333333333,4,9,1,2,0.9714,"l","2025-03-30 13:00:00",0,0,1,0,-0.444625,"La_liga","2024","Getafe"
"a",2.80288,0.300994,2.80288,0.300994,12.4166666666667,12.3888888888889,7,0,4,0,2.8471,"w","2025-04-06 16:30:00",1,0,0,3,2.501886,"La_liga","2024","Getafe"
"h",1.61783,1.54225,1.61783,1.54225,11.2,8.16666666666667,5,11,1,3,1.4324,"l","2025-04-12 14:15:00",0,0,1,0,0.0755800000000002,"La_liga","2024","Getafe"
